floor,number_of_storeys,ceiling_height,target_price,total_area,living_area,kitchen_area,district,near_the_subway,number_of_rooms,house_type,bathroom,balcony,year_built
1.0,9.0,2.53,63000.0,47.5,29.6,7.0,Sovetsky,Yes,2,brick,separate,Loggia,1971.0
1.0,4.0,3.07,88000.0,59.9,32.6,10.3,Tsentralny,Yes,2,brick,separate,Without,1954.0
9.0,9.0,2.53,49000.0,51.0,31.0,7.0,Leninsky,No,2,panel,separate,Loggia,1973.0
9.0,9.0,2.55,53000.0,47.11,28.22,8.01,Zavodskoy,Yes,2,brick,separate,Balcony,1984.0
1.0,9.0,2.75,128000.0,84.0,46.9,12.4,Tsentralny,No,2,frame-block,separate,Loggia,2021.0
2.0,7.0,2.7,182000.0,118.4,65.7,13.8,Tsentralny,Yes,3,brick,separate,Balcony,2006.0
5.0,5.0,2.7,77000.0,73.3,42.5,10.0,Tsentralny,No,3,brick,separate,Two balconies,1980.0
5.0,10.0,2.7,89000.0,54.1,22.8,11.9,Sovetsky,No,1,frame-block,separate,Loggia,2016.0
8.0,9.0,2.7,105000.0,82.3,51.6,10.5,Moskovsky,No,3,panel,separate,Loggia,2005.0
8.0,9.0,2.7,138000.0,90.0,54.0,10.2,Moskovsky,Yes,3,brick,separate,Balcony,2012.0
7.0,15.0,2.71,80000.0,58.5,29.3,12.1,Sovetsky,No,2,frame-block,combined,Loggia,2016.0
13.0,20.0,2.9,132000.0,62.0,45.0,15.0,Tsentralny,No,2,frame-block,combined,Loggia,2021.0
3.0,4.0,2.7,96000.0,63.0,38.0,6.8,Pervomaisky,Yes,3,brick,separate,Balcony,1994.0
3.0,15.0,2.7,70000.0,34.1,23.0,10.0,Oktyabrsky,Yes,2,monolithic,combined,Loggia,2021.0
3.0,5.0,2.51,63000.0,50.1,34.2,6.1,Pervomaisky,Yes,2,panel,separate,Balcony,1969.0
5.0,10.0,2.64,86000.0,77.4,45.0,12.5,Oktyabrsky,Yes,3,panel,separate,Loggia,2002.0
1.0,5.0,2.5,59000.0,56.7,42.0,5.7,Tsentralny,No,3,panel,combined,Without,1963.0
8.0,10.0,2.7,86000.0,55.1,31.2,9.3,Frunzensky,No,2,panel,separate,Loggia,2014.0
3.0,11.0,2.57,61000.0,45.9,17.6,13.4,Zavodskoy,Yes,1,frame-block,separate,Loggia,2020.0
4.0,5.0,2.52,45000.0,30.5,16.6,7.1,Frunzensky,Yes,1,panel,combined,Loggia,1967.0
9.0,10.0,2.7,38000.0,77.7,27.4,12.6,Leninsky,No,3,panel,separate,Loggia,2013.0
2.0,9.0,2.5,64000.0,46.7,17.9,11.2,Tsentralny,No,1,brick,combined,Loggia,2014.0
19.0,19.0,2.66,56000.0,42.9,18.0,9.3,Moskovsky,No,1,panel,separate,Loggia,2010.0
4.0,5.0,2.5,74000.0,56.0,44.0,7.0,Sovetsky,Yes,3,block-rooms,combined,Balcony,1963.0
9.0,9.0,2.5,60000.0,47.08,28.62,7.19,Frunzensky,Yes,2,panel,separate,Loggia,1980.0
1.0,2.0,3.05,72000.0,73.6,51.77,8.01,Moskovsky,Yes,3,brick,separate,Loggia,1960.0
3.0,9.0,2.5,53000.0,40.4,17.0,9.2,Frunzensky,No,1,panel,separate,Loggia,2011.0
7.0,9.0,2.5,63000.0,58.79,31.99,9.32,Frunzensky,No,2,panel,separate,Two balconies,1978.0
5.0,16.0,2.7,113000.0,93.3,55.3,12.3,Moskovsky,Yes,3,panel,separate,Loggia,2018.0
2.0,9.0,2.56,77000.0,58.0,31.2,9.3,Frunzensky,Yes,2,panel,separate,Loggia,2011.0
3.0,5.0,2.6,87000.0,65.1,38.8,9.9,Leninsky,Yes,3,brick,separate,Two balconies,1998.0
3.0,4.0,3.06,62000.0,47.6,29.1,7.3,Leninsky,Yes,2,brick,combined,Without,1957.0
9.0,9.0,2.7,75000.0,71.4,40.8,11.3,Frunzensky,No,3,block-rooms,separate,Loggia,2006.0
20.0,25.0,2.7,91000.0,53.5,20.6,15.4,Frunzensky,Yes,1,frame-block,separate,Loggia,2012.0
17.0,19.0,2.65,59000.0,42.6,18.0,9.3,Zavodskoy,Yes,1,panel,combined,Balcony,2011.0
9.0,9.0,2.55,79000.0,57.6,31.1,9.3,Frunzensky,Yes,2,panel,separate,Loggia,2010.0
3.0,5.0,2.54,54000.0,56.5,41.8,5.8,Frunzensky,Yes,3,panel,combined,Balcony,1981.0
12.0,25.0,2.72,100000.0,66.2,30.6,12.1,Moskovsky,Yes,2,frame-block,separate,Loggia,2011.0
7.0,9.0,2.53,48000.0,33.5,16.7,7.2,Zavodskoy,Yes,1,panel,separate,Loggia,1989.0
14.0,25.0,2.71,54000.0,31.7,21.7,10.0,Oktyabrsky,Yes,1,panel,combined,Loggia,2021.0
8.0,9.0,2.56,73000.0,65.24,43.34,7.07,Moskovsky,Yes,3,panel,separate,Loggia,1978.0
9.0,10.0,2.7,107000.0,77.79,43.71,10.11,Oktyabrsky,No,3,panel,2,Loggia,2021.0
1.0,5.0,2.54,46000.0,30.6,20.4,4.7,Partizansky,Yes,1,panel,combined,Without,1965.0
8.0,9.0,2.64,72000.0,74.1,39.0,11.7,Tsentralny,No,2,panel,separate,Balcony,2017.0
23.0,25.0,2.72,99000.0,70.1,50.0,14.0,Moskovsky,Yes,2,frame-block,separate,Two balconies,2015.0
8.0,9.0,2.5,79000.0,72.7,45.4,9.3,Moskovsky,No,3,frame-block,separate,Two balconies,1987.0
4.0,16.0,2.53,95000.0,60.9,31.3,10.2,Frunzensky,Yes,2,brick,separate,Two balconies,2013.0
4.0,19.0,2.65,64000.0,42.7,17.9,9.5,Frunzensky,No,1,panel,separate,Loggia,2016.0
9.0,10.0,2.7,389000.0,210.0,158.0,18.0,Pervomaisky,Yes,5,panel,2,Loggia,2007.0
10.0,19.0,2.66,149000.0,78.2,45.2,9.2,Oktyabrsky,No,3,panel,separate,Loggia,2016.0
2.0,5.0,2.5,58000.0,48.81,30.29,7.19,Leninsky,Yes,2,brick,separate,Loggia,1970.0
2.0,15.0,2.71,77000.0,46.4,20.0,12.0,Moskovsky,Yes,1,frame-block,separate,Loggia,2016.0
8.0,9.0,2.44,60000.0,48.7,24.4,8.2,Zavodskoy,No,2,brick,combined,Balcony,1971.0
15.0,17.0,2.75,64000.0,45.5,18.2,11.5,Frunzensky,Yes,1,frame-block,separate,Loggia,2012.0
2.0,9.0,2.52,69000.0,46.8,28.4,7.1,Pervomaisky,Yes,2,panel,separate,Loggia,1995.0
2.0,6.0,2.55,153000.0,89.7,60.0,9.4,Pervomaisky,Yes,4,panel,separate,Loggia,2006.0
9.0,25.0,2.7,79000.0,72.67,58.0,8.0,Oktyabrsky,Yes,4,frame-block,separate,Loggia,2021.0
2.0,5.0,2.52,65000.0,47.6,31.7,6.0,Zavodskoy,Yes,2,panel,separate,Balcony,1966.0
6.0,9.0,2.54,42000.0,35.5,17.4,7.2,Zavodskoy,No,1,panel,separate,Loggia,1978.0
17.0,17.0,2.7,650000.0,316.4,153.8,27.4,Pervomaisky,Yes,6,frame-block,more than 2,Loggia,2005.0
12.0,16.0,2.72,68000.0,38.1,15.0,15.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2020.0
7.0,9.0,2.49,86000.0,74.6,44.8,9.0,Leninsky,No,3,panel,separate,Loggia,2003.0
4.0,18.0,2.7,50000.0,43.0,32.0,8.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
12.0,26.0,2.7,139000.0,45.1,36.6,8.0,Tsentralny,No,2,monolithic,separate,Balcony,2019.0
6.0,8.0,3.33,615000.0,157.7,108.0,32.0,Tsentralny,Yes,2,monolithic,2,Without,2012.0
9.0,10.0,2.7,88000.0,79.3,46.6,10.3,Frunzensky,No,3,panel,separate,Loggia,2008.0
4.0,5.0,2.53,50000.0,40.9,24.7,6.1,Pervomaisky,Yes,2,panel,separate,Balcony,1968.0
9.0,9.0,2.52,89000.0,85.6,55.6,7.1,Oktyabrsky,Yes,4,panel,separate,Loggia,1989.0
10.0,10.0,2.55,96000.0,58.8,31.0,13.1,Oktyabrsky,Yes,2,panel,combined,Loggia,2012.0
3.0,5.0,2.52,64000.0,61.7,45.4,6.1,Frunzensky,Yes,3,panel,separate,Balcony,1969.0
8.0,23.0,2.7,38000.0,31.8,18.81,8.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
7.0,7.0,2.73,56000.0,40.9,16.9,9.5,Leninsky,No,1,frame-block,combined,Loggia,2017.0
4.0,5.0,2.5,59000.0,41.2,27.1,6.3,Pervomaisky,Yes,2,brick,separate,Two balconies,1968.0
9.0,18.0,2.7,49000.0,43.0,32.0,8.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
3.0,16.0,2.7,34000.0,28.16,23.0,5.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
6.0,19.0,2.67,132000.0,90.56,52.01,10.17,Tsentralny,No,3,frame-block,2,Loggia,2019.0
4.0,17.0,2.7,95000.0,72.83,36.69,12.47,Moskovsky,Yes,2,frame-block,2,Loggia,2021.0
1.0,5.0,2.5,52000.0,41.4,24.8,6.2,Oktyabrsky,No,2,panel,separate,Without,1968.0
1.0,12.0,2.52,70000.0,49.8,28.88,7.17,Pervomaisky,Yes,2,panel,separate,Loggia,1973.0
3.0,5.0,2.52,46000.0,32.6,17.2,6.2,Oktyabrsky,Yes,1,panel,separate,Loggia,1971.0
4.0,9.0,2.55,54000.0,38.3,19.2,8.5,Moskovsky,Yes,1,brick,separate,Loggia,1987.0
1.0,9.0,2.7,103000.0,73.5,49.1,10.4,Tsentralny,No,3,frame-block,separate,Balcony,2014.0
9.0,9.0,2.54,56000.0,40.8,17.2,9.3,Frunzensky,Yes,1,panel,separate,Loggia,2013.0
2.0,25.0,3.04,69000.0,51.0,25.0,15.0,Pervomaisky,Yes,2,frame-block,combined,Loggia,2021.0
1.0,9.0,2.54,72000.0,68.8,43.4,8.9,Frunzensky,No,3,panel,separate,Loggia,1998.0
4.0,9.0,2.55,76000.0,73.3,48.3,7.2,Leninsky,No,3,panel,separate,Two balconies,1974.0
4.0,16.0,2.7,64000.0,54.7,42.0,10.0,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2020.0
9.0,11.0,2.65,110000.0,63.2,36.9,11.3,Oktyabrsky,No,2,panel,separate,Loggia,2017.0
9.0,9.0,2.5,43000.0,33.0,17.0,7.0,Moskovsky,Yes,1,panel,separate,Loggia,1984.0
12.0,15.0,2.7,158000.0,105.0,61.0,15.0,Sovetsky,No,3,frame-block,separate,Two balconies,2009.0
4.0,4.0,2.65,54000.0,44.9,27.3,5.8,Partizansky,Yes,2,brick,combined,Balcony,1959.0
9.0,9.0,2.52,63000.0,49.1,28.5,7.2,Frunzensky,No,2,panel,separate,Loggia,1998.0
3.0,5.0,2.54,58000.0,56.6,40.9,5.8,Frunzensky,Yes,3,panel,combined,Balcony,1963.0
2.0,5.0,2.5,48000.0,30.3,20.15,5.3,Frunzensky,Yes,1,brick,combined,Balcony,1965.0
5.0,12.0,2.7,70000.0,64.5,38.2,8.8,Frunzensky,No,3,panel,separate,Balcony,1993.0
15.0,16.0,2.54,93000.0,69.6,28.8,18.9,Zavodskoy,Yes,2,brick,separate,Balcony,2011.0
14.0,24.0,2.75,157000.0,84.7,45.3,12.4,Tsentralny,Yes,3,monolithic,2,Loggia,2016.0
7.0,11.0,2.67,65000.0,38.5,17.6,10.7,Oktyabrsky,No,1,panel,combined,Loggia,2016.0
4.0,19.0,2.64,76000.0,60.5,31.0,9.5,Moskovsky,Yes,2,panel,separate,Loggia,2012.0
1.0,9.0,2.53,43000.0,29.7,11.2,7.2,Pervomaisky,Yes,1,panel,separate,Without,1987.0
3.0,9.0,2.64,101000.0,93.5,56.2,12.9,Frunzensky,No,3,panel,separate,Balcony,2011.0
12.0,16.0,2.64,124000.0,93.2,55.5,12.4,Moskovsky,Yes,3,panel,separate,Loggia,2016.0
5.0,16.0,2.65,58000.0,43.0,17.9,9.6,Frunzensky,No,1,panel,separate,Loggia,2008.0
2.0,9.0,2.5,86000.0,71.37,43.28,9.51,Frunzensky,No,3,block-rooms,separate,Two balconies,1979.0
19.0,19.0,2.55,69000.0,49.7,38.9,7.0,Moskovsky,No,2,panel,combined,Loggia,2017.0
9.0,9.0,2.5,72000.0,53.69,29.57,7.08,Sovetsky,Yes,2,panel,separate,Loggia,1978.0
9.0,18.0,2.7,47000.0,42.7,28.03,5.5,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
4.0,9.0,2.54,96000.0,81.2,53.6,7.1,Moskovsky,Yes,4,panel,separate,Two balconies,1984.0
5.0,9.0,2.7,46000.0,33.5,16.7,7.8,Frunzensky,Yes,1,panel,separate,Balcony,1973.0
4.0,5.0,2.7,48000.0,43.4,31.3,6.4,Leninsky,Yes,2,brick,combined,Balcony,1963.0
7.0,10.0,2.6,66000.0,39.9,19.1,9.2,Frunzensky,No,1,panel,combined,Loggia,2019.0
19.0,19.0,3.0,56000.0,48.1,40.9,6.0,Oktyabrsky,Yes,2,frame-block,combined,Balcony,2020.0
7.0,22.0,2.7,51000.0,41.0,32.0,9.0,Oktyabrsky,Yes,1,frame-block,separate,Loggia,2019.0
1.0,12.0,2.64,73000.0,72.3,40.2,8.7,Leninsky,No,3,panel,separate,Two balconies,1986.0
5.0,5.0,2.7,78000.0,54.2,31.1,7.7,Leninsky,Yes,2,brick,separate,Without,1956.0
5.0,5.0,2.62,54000.0,53.6,34.7,6.5,Leninsky,No,2,brick,separate,Loggia,1975.0
7.0,25.0,2.73,46000.0,29.2,23.3,9.1,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
4.0,4.0,2.93,65000.0,41.9,23.2,7.7,Sovetsky,Yes,2,brick,combined,Balcony,1958.0
9.0,18.0,2.7,77000.0,48.1,39.2,8.0,Frunzensky,Yes,1,monolithic,combined,Balcony,2009.0
4.0,9.0,2.7,68000.0,65.45,43.5,7.26,Zavodskoy,No,3,panel,separate,Loggia,1984.0
4.0,5.0,2.95,74000.0,54.2,30.2,7.8,Partizansky,Yes,2,brick,separate,Without,1960.0
5.0,5.0,2.51,50000.0,53.74,35.25,6.71,Zavodskoy,Yes,2,brick,separate,Balcony,1967.0
3.0,15.0,2.58,162000.0,114.5,72.8,8.7,Oktyabrsky,Yes,3,brick,combined,Loggia,2003.0
11.0,12.0,2.61,64000.0,50.0,29.3,7.71,Leninsky,No,2,panel,separate,Loggia,1977.0
4.0,9.0,2.7,115000.0,60.6,34.1,10.2,Pervomaisky,Yes,2,brick,separate,Loggia,1995.0
8.0,10.0,2.53,120000.0,59.9,36.1,9.5,Oktyabrsky,No,2,panel,combined,Loggia,2020.0
5.0,5.0,2.58,42000.0,29.32,16.8,6.0,Partizansky,No,1,brick,combined,Without,1961.0
3.0,5.0,3.04,170000.0,117.0,40.3,47.0,Pervomaisky,Yes,3,brick,separate,Loggia,2004.0
4.0,4.0,2.74,45000.0,45.1,30.6,5.9,Moskovsky,Yes,2,brick,separate,Balcony,1960.0
